"EG15_007 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG15_007.tcf]","Time(h)","F FC01.1_R [EG15_007]","F FC01.2_R [EG15_007]","F FC04.1_C [EG15_007]","F Node20 [EG15_007]","F Pit10 [EG15_007]","F Pit11 [EG15_007]","F Pit13 [EG15_007]","F Pit15 [EG15_007]","F Pit18 [EG15_007]","F Pit19 [EG15_007]","F Pit2 [EG15_007]","F Pit4 [EG15_007]","F Pit5 [EG15_007]","F Pit6 [EG15_007]","F Pit7 [EG15_007]","F Pit9 [EG15_007]"
       1,          0.000000,,,,,,,,,,,,,,,,
       2,          0.016667,G,G,G,,,,,,,,,,,,,
       3,          0.033333,G,G,G,,,,,,,,,,,,,
       4,          0.050000,G,G,G,,,,,,,,,,,,,
       5,          0.066667,G,A,G,,,,,,,,,,,,,
       6,          0.083333,G,A,G,,,,,,,,,,,,,
       7,          0.100000,G,A,G,,,,,,,,,,,,,
       8,          0.116667,G,A,G,,,,,,,,,,,,,
       9,          0.133333,G,A,G,,,,,,,,,,,,,
      10,          0.150000,G,A,G,,,,,,,,,,,,,
      11,          0.166667,G,A,G,,,,,,,,,,,,,
      12,          0.183333,G,A,G,,,,,,,,,,,,,
      13,          0.200000,A,A,A,,,,,,,,,,,,,
      14,          0.216667,A,J,A,,,,,,,,,,,,,
      15,          0.233333,A,J,A,,,,,,,,,,,,,
      16,          0.250000,A,A,A,,,,,,,,,,,,,
      17,          0.266667,A,J,A,,,,,,,,,,,,,
      18,          0.283333,A,A,A,,,,,,,,,,,,,
      19,          0.300000,A,J,A,,,,,,,,,,,,,
      20,          0.316667,A,J,A,,,,,,,,,,,,,
      21,          0.333333,A,J L,A,,,,,,,,,,,,,
      22,          0.350000,A,A,A,,,,,,,,,,,,,
      23,          0.366667,A,J,A,,,,,,,,,,,,,
      24,          0.383333,A,J,A,,,,,,,,,,,,,
      25,          0.400000,A,A L,A,,,,,,,,,,,,,
      26,          0.416667,A,J,A,,,,,,,,,,,,,
      27,          0.433333,A,J,A,,,,,,,,,,,,,
      28,          0.450000,A,D,A,,,,,,,,,,,,,
      29,          0.466667,A,D L,A,,,,,,,,,,,,,
      30,          0.483333,A,D,A,,,,,,,,,,,,,
      31,          0.500000,A,J,A,,,,,,,,,,,,,
      32,          0.516667,A,J,A,,,,,,,,,,,,,
      33,          0.533333,A,D,A,,,,,,,,,,,,,
      34,          0.550000,A,J,A,,,,,,,,,,,,,
      35,          0.566667,B,D,A,,,,,,,,,,,,,
      36,          0.583333,L,F,A,,,,,,,,,,,,,
      37,          0.600000,L,F,A,,,,,,,,,,,,,
      38,          0.616667,L,F,A,,,,,,,,,,,,,
      39,          0.633333,L,F,A,,,,,,,,,,,,,
      40,          0.650000,L,F,A,,,,,,,,,,,,,
      41,          0.666667,L,F,A,,,,,,,,,,,,,
      42,          0.683333,L,F,A,,,,,,,,,,,,,
      43,          0.700000,L,F,A,,,,,,,,,,,,,
      44,          0.716667,L,F,A,,,,,,,,,,,,,
      45,          0.733333,L,F,A,,,,,,,,,,,,,
      46,          0.750000,L,F,A,,,,,,,,,,,,,
      47,          0.766667,L,F,A,,,,,,,,,,,,,
      48,          0.783333,L,F,A,,,,,,,,,,,,,
      49,          0.800000,L,F,A,,,,,,,,,,,,,
      50,          0.816667,L,F,A,,,,,,,,,,,,,
      51,          0.833333,L,F,A,,,,,,,,,,,,,
      52,          0.850000,L,F,A,,,,,,,,,,,,,
      53,          0.866667,L,F,A,,,,,,,,,,,,,
      54,          0.883333,L,F,A,,,,,,,,,,,,,
      55,          0.900000,L,F,A,,,,,,,,,,,,,
      56,          0.916667,L,F,A,,,,,,,,,,,,,
      57,          0.933333,L,F,A,,,,,,,,,,,,,
      58,          0.950000,L,F,A,,,,,,,,,,,,,
      59,          0.966667,L,F,A,,,,,,,,,,,,,
      60,          0.983333,L,F,A,,,,,,,,,,,,,
      61,          1.000000,L,F,A,,,,,,,,,,,,,
      62,          1.016667,L,F,A,,,,,,,,,,,,,
      63,          1.033333,L,F,A,,,,,,,,,,,,,
      64,          1.050000,L,F,A,,,,,,,,,,,,,
      65,          1.066667,L,F,A,,,,,,,,,,,,,
      66,          1.083333,L,F,A,,,,,,,,,,,,,
      67,          1.100000,L,F,A,,,,,,,,,,,,,
      68,          1.116667,L,F,A,,,,,,,,,,,,,
      69,          1.133333,L,F,A,,,,,,,,,,,,,
      70,          1.150000,L,F,A,,,,,,,,,,,,,
      71,          1.166667,L,F,A,,,,,,,,,,,,,
      72,          1.183333,L,F,A,,,,,,,,,,,,,
      73,          1.200000,L,F,A,,,,,,,,,,,,,
      74,          1.216667,L,F,A,,,,,,,,,,,,,
      75,          1.233333,L,F,A,,,,,,,,,,,,,
      76,          1.250000,L,F,A,,,,,,,,,,,,,
      77,          1.266667,L,F,A,,,,,,,,,,,,,
      78,          1.283333,L,F,A,,,,,,,,,,,,,
      79,          1.300000,L,F,A,,,,,,,,,,,,,
      80,          1.316667,L,F,A,,,,,,,,,,,,,
      81,          1.333333,L,F,A,,,,,,,,,,,,,
      82,          1.350000,L,F,A,,,,,,,,,,,,,
      83,          1.366667,L,F,A,,,,,,,,,,,,,
      84,          1.383333,L,F,A,,,,,,,,,,,,,
      85,          1.400000,L,F,A,,,,,,,,,,,,,
      86,          1.416667,L,F,A,,,,,,,,,,,,,
      87,          1.433333,L,F,A,,,,,,,,,,,,,
      88,          1.450000,L,F,A,,,,,,,,,,,,,
      89,          1.466667,L,F,A,,,,,,,,,,,,,
      90,          1.483333,L,F,A,,,,,,,,,,,,,
      91,          1.500000,L,F,A,,,,,,,,,,,,,
      92,          1.516667,L,F,A,,,,,,,,,,,,,
      93,          1.533333,L,F,A,,,,,,,,,,,,,
      94,          1.550000,L,F,A,,,,,,,,,,,,,
      95,          1.566667,L,F,A,,,,,,,,,,,,,
      96,          1.583333,L,F,A,,,,,,,,,,,,,
      97,          1.600000,L,F,A,,,,,,,,,,,,,
      98,          1.616667,L,F,A,,,,,,,,,,,,,
      99,          1.633333,L,F,A,,,,,,,,,,,,,
     100,          1.650000,L,F,A,,,,,,,,,,,,,
     101,          1.666667,L,F,A,,,,,,,,,,,,,
     102,          1.683333,L,F,A,,,,,,,,,,,,,
     103,          1.700000,L,F,A,,,,,,,,,,,,,
     104,          1.716667,L,F,A,,,,,,,,,,,,,
     105,          1.733333,L,F,A,,,,,,,,,,,,,
     106,          1.750000,L,F,A,,,,,,,,,,,,,
     107,          1.766667,L,F,A,,,,,,,,,,,,,
     108,          1.783333,L,F,A,,,,,,,,,,,,,
     109,          1.800000,L,F,A,,,,,,,,,,,,,
     110,          1.816667,L,F,A,,,,,,,,,,,,,
     111,          1.833333,L,F,A,,,,,,,,,,,,,
     112,          1.850000,L,F,A,,,,,,,,,,,,,
     113,          1.866667,L,F,A,,,,,,,,,,,,,
     114,          1.883333,A,F,A,,,,,,,,,,,,,
     115,          1.900000,A,F,A,,,,,,,,,,,,,
     116,          1.916667,A,F,A,,,,,,,,,,,,,
     117,          1.933333,A,F,A,,,,,,,,,,,,,
     118,          1.950000,A,F,A,,,,,,,,,,,,,
     119,          1.966667,A,F,A,,,,,,,,,,,,,
     120,          1.983333,A,F,A,,,,,,,,,,,,,
     121,          2.000000,A,F,A,,,,,,,,,,,,,
     122,          2.016667,A,F,A,,,,,,,,,,,,,
     123,          2.033334,A,F,A,,,,,,,,,,,,,
     124,          2.050000,A,F,A,,,,,,,,,,,,,
     125,          2.066667,A,F,A,,,,,,,,,,,,,
     126,          2.083333,A,F,A,,,,,,,,,,,,,
     127,          2.100000,A,F,A,,,,,,,,,,,,,
     128,          2.116667,A,F,A,,,,,,,,,,,,,
     129,          2.133333,A,F,A,,,,,,,,,,,,,
     130,          2.150000,A,F,A,,,,,,,,,,,,,
     131,          2.166667,A,F,A,,,,,,,,,,,,,
     132,          2.183333,A,F,A,,,,,,,,,,,,,
     133,          2.200000,A,F,A,,,,,,,,,,,,,
     134,          2.216667,A,F,A,,,,,,,,,,,,,
     135,          2.233333,A,F,A,,,,,,,,,,,,,
     136,          2.250000,A,F,A,,,,,,,,,,,,,
     137,          2.266667,A,F,A,,,,,,,,,,,,,
     138,          2.283334,A,F,A,,,,,,,,,,,,,
     139,          2.300000,A,F,A,,,,,,,,,,,,,
     140,          2.316667,A,F,A,,,,,,,,,,,,,
     141,          2.333333,A,F,A,,,,,,,,,,,,,
     142,          2.350000,A,F,A,,,,,,,,,,,,,
     143,          2.366667,A,F,A,,,,,,,,,,,,,
     144,          2.383333,A,F,A,,,,,,,,,,,,,
     145,          2.400000,A,F,A,,,,,,,,,,,,,
     146,          2.416667,A,F,A,,,,,,,,,,,,,
     147,          2.433333,A,F,A,,,,,,,,,,,,,
     148,          2.450000,A,F,A,,,,,,,,,,,,,
     149,          2.466667,A,F,A,,,,,,,,,,,,,
     150,          2.483333,A,F,A,,,,,,,,,,,,,
     151,          2.500000,A,F,A,,,,,,,,,,,,,
     152,          2.516667,A,F,A,,,,,,,,,,,,,
     153,          2.533334,A,F,A,,,,,,,,,,,,,
     154,          2.550000,A,F,A,,,,,,,,,,,,,
     155,          2.566667,A,F,A,,,,,,,,,,,,,
     156,          2.583333,A,F,A,,,,,,,,,,,,,
     157,          2.600000,A,F,A,,,,,,,,,,,,,
     158,          2.616667,A,F,A,,,,,,,,,,,,,
     159,          2.633333,A,F,A,,,,,,,,,,,,,
     160,          2.650000,A,F,A,,,,,,,,,,,,,
     161,          2.666667,A,F,A,,,,,,,,,,,,,
     162,          2.683333,A,F,A,,,,,,,,,,,,,
     163,          2.700000,A,F,A,,,,,,,,,,,,,
     164,          2.716667,A,F,A,,,,,,,,,,,,,
     165,          2.733334,A,F,A,,,,,,,,,,,,,
     166,          2.750000,A,F,A,,,,,,,,,,,,,
     167,          2.766667,A,F,A,,,,,,,,,,,,,
     168,          2.783334,A,D,A,,,,,,,,,,,,,
     169,          2.800000,A,D,A,,,,,,,,,,,,,
     170,          2.816667,A,D,A,,,,,,,,,,,,,
     171,          2.833333,A,D,A,,,,,,,,,,,,,
     172,          2.850000,A,D,A,,,,,,,,,,,,,
     173,          2.866667,A,D,A,,,,,,,,,,,,,
     174,          2.883333,A,D,A,,,,,,,,,,,,,
     175,          2.900000,A,D,A,,,,,,,,,,,,,
     176,          2.916667,A,D,A,,,,,,,,,,,,,
     177,          2.933333,A,D,A,,,,,,,,,,,,,
     178,          2.950000,A,D,A,,,,,,,,,,,,,
     179,          2.966667,A,D,A,,,,,,,,,,,,,
     180,          2.983334,A,D,A,,,,,,,,,,,,,
     181,          3.000000,A,D,A,,,,,,,,,,,,,
